loan_id,customer_id,loan_amount,loan_intent,interest_rate,loan_term_months,grade,dti_ratio,loan_status,application_date
LOAN-000041,CUST-000028,"$6,149.81",DEBTCONSOLIDATION,12.92,12,C,0.3032,Current,2022-11-05
LOAN-000042,CUST-000029,"$37,981.65",PERSONAL,11.17,60,B,0.1679,Late (16-30 days),2023-01-18
LOAN-000043,CUST-000030,"$7,598.31",MEDICAL,13.03,48,C,0.1361,Fully Paid,2022-02-25
LOAN-000044,CUST-000031,"$20,318.01",MEDICAL,8.47,36,A,0.3488,Current,2022-06-22
LOAN-000045,CUST-000032,"$3,295.67",MEDICAL,10.44,36,B,0.0907,Late (16-30 days),2023-01-06
LOAN-000046,CUST-000033,"$29,773.97",EDUCATION,7.41,12,A,0.2801,Current,2022-12-25
LOAN-000047,CUST-000034,"$2,978.29",PERSONAL,13.66,36,C,0.2479,Current,2022-10-07
LOAN-000048,CUST-000034,"$9,642.80",VENTURE,12.30,36,C,0.2759,Current,2022-09-03
LOAN-000049,CUST-000035,"$6,747.28",DEBTCONSOLIDATION,13.10,24,C,0.3311,Current,2023-02-21
LOAN-000050,CUST-000035,"$4,418.70",HOMEIMPROVEMENT,13.22,36,C,0.2126,Late (16-30 days),2022-12-04
LOAN-000051,CUST-000036,"$36,219.40",EDUCATION,14.73,24,D,0.3286,Fully Paid,2022-07-15
LOAN-000052,CUST-000036,"$12,472.40",EDUCATION,15.93,36,D,0.1724,Fully Paid,2022-09-15
LOAN-000053,CUST-000037,"$7,519.03",PERSONAL,14.56,24,D,0.3413,Current,2022-08-13
LOAN-000054,CUST-000038,"$5,161.33",EDUCATION,15.30,24,D,0.3129,Fully Paid,2022-10-10
LOAN-000055,CUST-000039,"$9,072.12",PERSONAL,13.94,12,C,0.6126,Fully Paid,2022-05-12
LOAN-000056,CUST-000039,"$4,294.94",EDUCATION,17.62,24,E,0.3133,Current,2022-05-26
LOAN-000057,CUST-000040,"$16,224.05",HOMEIMPROVEMENT,11.90,12,C,0.6211,Current,2022-08-17
LOAN-000058,CUST-000040,"$15,549.00",VENTURE,12.32,60,C,0.3198,Current,2022-10-05
LOAN-000059,CUST-000041,"$9,616.44",PERSONAL,7.74,48,A,0.2229,Fully Paid,2022-04-12
LOAN-000060,CUST-000042,"$8,566.53",VENTURE,5.50,24,A,0.2104,Current,2023-01-29
LOAN-000061,CUST-000043,"$7,402.12",EDUCATION,7.92,60,A,0.2786,Fully Paid,2023-03-08
LOAN-000062,CUST-000044,"$11,204.27",MEDICAL,6.16,12,A,0.4296,Current,2023-03-06
LOAN-000063,CUST-000044,"$9,006.60",VENTURE,7.68,48,A,0.3086,Current,2023-02-26
LOAN-000064,CUST-000045,"$31,651.01",EDUCATION,5.50,48,A,0.3120,Current,2022-08-23
LOAN-000065,CUST-000045,"$27,722.23",HOMEIMPROVEMENT,5.50,60,A,0.1309,Fully Paid,2022-09-27
LOAN-000066,CUST-000046,"$9,426.77",VENTURE,9.44,60,B,0.2383,Late (16-30 days),2022-09-13
LOAN-000067,CUST-000046,"$10,301.86",VENTURE,12.62,60,C,0.2496,Current,2022-09-21
LOAN-000068,CUST-000047,"$2,682.62",HOMEIMPROVEMENT,12.61,60,C,0.2600,Fully Paid,2022-07-28
LOAN-000069,CUST-000048,"$8,163.71",VENTURE,12.33,36,C,0.1837,Late (31-120 days),2023-02-02
LOAN-000070,CUST-000048,"$20,589.48",MEDICAL,16.24,24,D,0.2896,Late (31-120 days),2022-12-21
LOAN-000071,CUST-000049,"$19,921.09",PERSONAL,8.88,48,B,0.3218,Current,2022-11-14
LOAN-000072,CUST-000050,"$29,274.25",HOMEIMPROVEMENT,11.67,36,C,0.1805,Late (16-30 days),2023-01-26
LOAN-000073,CUST-000051,"$2,681.56",PERSONAL,12.79,36,C,0.2478,Fully Paid,2022-06-18
LOAN-000074,CUST-000052,"$10,306.75",MEDICAL,12.12,24,C,0.2526,Current,2022-11-02
LOAN-000075,CUST-000052,"$3,971.24",PERSONAL,13.83,60,C,0.2385,Current,2022-11-26
LOAN-000076,CUST-000053,"$16,904.01",PERSONAL,13.87,48,C,0.2982,Fully Paid,2022-04-27
LOAN-000077,CUST-000054,"$5,572.68",EDUCATION,9.89,24,B,0.1773,Current,2022-06-19
LOAN-000078,CUST-000054,"$28,841.29",EDUCATION,10.75,12,B,0.5600,Current,2022-07-08
LOAN-000079,CUST-000055,"$10,824.74",MEDICAL,12.56,12,C,0.5341,Current,2022-05-15
LOAN-000080,CUST-000056,"$9,786.03",HOMEIMPROVEMENT,10.95,36,B,0.3333,Current,2022-12-18
LOAN-000081,CUST-000056,"$10,060.94",EDUCATION,11.89,36,C,0.2930,Fully Paid,2022-12-17
LOAN-000082,CUST-000057,"$5,805.93",PERSONAL,7.26,60,A,0.1739,Current,2022-05-15
LOAN-000083,CUST-000057,"$12,630.46",VENTURE,8.27,36,A,0.3457,Fully Paid,2022-04-25
LOAN-000084,CUST-000058,"$6,585.41",EDUCATION,21.70,60,F,0.1566,Late (31-120 days),2022-09-05
LOAN-000085,CUST-000058,"$3,159.00",VENTURE,20.07,24,E,0.2407,Charged Off / Default,2022-09-30
LOAN-000086,CUST-000059,"$4,701.79",VENTURE,13.31,36,C,0.2429,Late (31-120 days),2022-02-12
LOAN-000087,CUST-000059,"$4,294.24",MEDICAL,16.95,12,D,0.2354,Charged Off / Default,2022-03-20
LOAN-000088,CUST-000060,"$7,434.82",HOMEIMPROVEMENT,11.73,48,C,0.2261,Current,2022-09-05
LOAN-000089,CUST-000060,"$10,036.40",EDUCATION,6.82,36,A,0.2727,Current,2022-08-06
LOAN-000090,CUST-000061,"$30,110.57",HOMEIMPROVEMENT,12.01,12,C,0.5411,Fully Paid,2022-12-15
LOAN-000091,CUST-000061,"$16,858.87",VENTURE,9.69,12,B,0.3499,Current,2022-12-27
LOAN-000092,CUST-000062,"$17,348.60",DEBTCONSOLIDATION,10.67,60,B,0.2948,Current,2022-11-17
LOAN-000093,CUST-000062,"$4,002.35",DEBTCONSOLIDATION,12.86,24,C,0.2378,Fully Paid,2023-01-24
LOAN-000094,CUST-000063,"$8,088.95",PERSONAL,14.53,36,D,0.1890,Charged Off / Default,2022-05-24
LOAN-000095,CUST-000063,"$11,939.13",VENTURE,17.88,36,E,0.2025,Fully Paid,2022-06-18
LOAN-000096,CUST-000064,"$9,229.20",PERSONAL,8.46,60,A,0.3104,Fully Paid,2022-12-02
LOAN-000097,CUST-000064,"$5,750.91",HOMEIMPROVEMENT,7.78,48,A,0.2381,Current,2022-12-04
LOAN-000098,CUST-000065,"$30,482.30",PERSONAL,14.84,12,D,0.5169,Fully Paid,2022-06-15
LOAN-000099,CUST-000066,"$8,287.34",DEBTCONSOLIDATION,12.41,60,C,0.1844,Fully Paid,2022-12-08
LOAN-000100,CUST-000066,"$2,171.60",EDUCATION,12.91,24,C,0.2340,Late (16-30 days),2022-11-16
LOAN-000101,CUST-000067,"$10,740.17",DEBTCONSOLIDATION,9.82,48,B,0.2496,Fully Paid,2023-01-11
LOAN-000102,CUST-000068,"$25,734.32",VENTURE,13.87,12,C,0.4772,Late (31-120 days),2022-03-31
LOAN-000103,CUST-000069,"$6,720.57",EDUCATION,11.53,12,C,0.1743,Current,2022-08-27
LOAN-000104,CUST-000070,"$8,546.30",MEDICAL,12.78,36,C,0.1747,Fully Paid,2022-04-22
LOAN-000105,CUST-000071,"$12,107.18",PERSONAL,8.10,24,A,0.2068,Current,2022-11-29
LOAN-000106,CUST-000072,"$11,088.63",DEBTCONSOLIDATION,10.09,60,B,0.1281,Fully Paid,2022-07-12
LOAN-000107,CUST-000073,"$28,647.34",DEBTCONSOLIDATION,10.82,48,B,0.1545,Current,2022-12-29
LOAN-000108,CUST-000073,"$2,867.19",DEBTCONSOLIDATION,9.48,12,B,0.1785,Fully Paid,2022-11-02
LOAN-000109,CUST-000074,"$21,550.06",EDUCATION,17.71,24,E,0.3374,Charged Off / Default,2022-08-12
LOAN-000110,CUST-000075,"$5,144.30",EDUCATION,8.76,36,B,0.2764,Late (16-30 days),2023-02-09
LOAN-000111,CUST-000075,"$6,064.44",VENTURE,10.95,36,B,0.1029,Fully Paid,2023-02-17
LOAN-000112,CUST-000076,"$2,102.61",VENTURE,13.07,36,C,0.2124,Current,2022-07-06
LOAN-000113,CUST-000076,"$19,777.17",VENTURE,11.89,60,C,0.1296,Fully Paid,2022-07-10
LOAN-000114,CUST-000077,"$3,841.57",MEDICAL,12.12,48,C,0.0741,Fully Paid,2022-08-01
LOAN-000115,CUST-000077,"$22,889.41",PERSONAL,16.79,24,D,0.2538,Fully Paid,2022-07-23
LOAN-000116,CUST-000078,"$10,458.59",MEDICAL,13.21,60,C,0.1387,Fully Paid,2022-09-30
LOAN-000117,CUST-000078,"$3,021.13",MEDICAL,10.06,48,B,0.2254,Fully Paid,2022-11-19
LOAN-000118,CUST-000079,"$6,256.89",EDUCATION,9.16,24,B,0.2778,Late (16-30 days),2023-01-15
LOAN-000119,CUST-000079,"$13,179.64",DEBTCONSOLIDATION,8.58,36,B,0.3563,Fully Paid,2022-12-24
LOAN-000120,CUST-000080,"$21,406.31",PERSONAL,9.71,60,B,0.1186,Current,2022-11-10
LOAN-000121,CUST-000080,"$17,001.87",MEDICAL,8.18,36,A,0.2581,Current,2022-09-18
LOAN-000122,CUST-000081,"$3,873.50",DEBTCONSOLIDATION,15.03,12,D,0.2703,Late (16-30 days),2022-03-24
LOAN-000123,CUST-000081,"$6,027.46",VENTURE,14.48,48,C,0.1186,Late (16-30 days),2022-03-25
LOAN-000124,CUST-000082,"$6,476.51",VENTURE,11.80,60,C,0.2687,Current,2022-06-25
LOAN-000125,CUST-000083,"$4,345.90",HOMEIMPROVEMENT,10.85,24,B,0.3238,Fully Paid,2022-07-25
LOAN-000126,CUST-000084,"$34,420.71",HOMEIMPROVEMENT,12.76,48,C,0.1868,Fully Paid,2022-04-16
LOAN-000127,CUST-000084,"$26,223.62",EDUCATION,11.09,48,B,0.2701,Current,2022-05-03
LOAN-000128,CUST-000085,"$5,529.11",HOMEIMPROVEMENT,12.58,60,C,0.2715,Current,2022-04-15
LOAN-000129,CUST-000086,"$13,386.16",PERSONAL,13.24,12,C,0.4706,Current,2022-10-19
LOAN-000130,CUST-000087,"$11,775.58",PERSONAL,8.74,36,B,0.2741,Fully Paid,2023-01-07
LOAN-000131,CUST-000087,"$16,167.50",PERSONAL,10.20,12,B,0.5016,Fully Paid,2022-12-25
LOAN-000132,CUST-000088,"$24,732.70",PERSONAL,10.01,36,B,0.3504,Fully Paid,2022-06-28
LOAN-000133,CUST-000088,"$4,688.66",VENTURE,8.06,48,A,0.0744,Current,2022-07-07
LOAN-000134,CUST-000089,"$16,205.02",HOMEIMPROVEMENT,14.29,48,C,0.2897,Late (31-120 days),2022-07-16
LOAN-000135,CUST-000090,"$3,424.40",MEDICAL,13.23,36,C,0.2944,Fully Paid,2022-05-29
LOAN-000136,CUST-000090,"$5,957.73",DEBTCONSOLIDATION,11.88,48,C,0.3062,Fully Paid,2022-04-20
LOAN-000137,CUST-000091,"$16,253.60",PERSONAL,12.41,24,C,0.2231,Current,2022-04-08
LOAN-000138,CUST-000092,"$26,690.59",PERSONAL,9.92,36,B,0.1687,Current,2022-08-20
LOAN-000139,CUST-000093,"$6,322.17",MEDICAL,11.60,36,C,0.1530,Fully Paid,2023-03-11
LOAN-000140,CUST-000093,"$27,669.82",VENTURE,10.83,12,B,0.4749,Current,2023-03-12
LOAN-000141,CUST-000094,"$4,472.99",PERSONAL,12.83,24,C,0.2010,Late (16-30 days),2022-08-11
LOAN-000142,CUST-000094,"$4,668.91",EDUCATION,12.50,12,C,0.3364,Fully Paid,2022-07-31
LOAN-000143,CUST-000095,"$18,637.94",PERSONAL,17.36,48,D,0.2441,Fully Paid,2023-02-05
LOAN-000144,CUST-000095,"$15,004.50",DEBTCONSOLIDATION,17.09,24,D,0.2429,Fully Paid,2023-01-08
LOAN-000145,CUST-000096,"$8,475.30",HOMEIMPROVEMENT,17.06,24,D,0.2959,Fully Paid,2022-12-21
LOAN-000146,CUST-000096,"$17,293.86",MEDICAL,15.97,24,D,0.3809,Charged Off / Default,2023-03-20
LOAN-000147,CUST-000097,"$35,505.83",EDUCATION,12.35,60,C,0.2196,Late (16-30 days),2022-03-05
LOAN-000148,CUST-000098,"$3,544.03",VENTURE,13.48,48,C,0.2579,Fully Paid,2023-03-31
LOAN-000149,CUST-000099,"$8,784.91",DEBTCONSOLIDATION,9.39,48,B,0.2746,Fully Paid,2022-08-24
LOAN-000150,CUST-000099,"$4,531.83",VENTURE,8.59,60,B,0.2735,Current,2022-10-15
LOAN-000151,CUST-000100,"$26,636.78",HOMEIMPROVEMENT,16.49,48,D,0.1609,Late (31-120 days),2022-09-25
LOAN-000152,CUST-000100,"$14,506.15",DEBTCONSOLIDATION,14.57,12,D,0.3316,Fully Paid,2022-10-01
LOAN-000153,CUST-000101,"$12,982.08",VENTURE,9.47,12,B,0.3840,Fully Paid,2022-11-23
LOAN-000154,CUST-000102,"$6,130.42",PERSONAL,9.92,36,B,0.2075,Fully Paid,2022-05-29
LOAN-000155,CUST-000103,"$3,090.04",MEDICAL,11.07,24,B,0.1907,Current,2022-03-16
LOAN-000156,CUST-000104,"$4,406.14",EDUCATION,6.25,60,A,0.0830,Current,2022-12-10
LOAN-000157,CUST-000104,"$3,414.65",DEBTCONSOLIDATION,5.50,60,A,0.0781,Current,2023-01-16
LOAN-000158,CUST-000105,"$16,298.48",PERSONAL,9.59,48,B,0.2895,Current,2022-12-09
LOAN-000159,CUST-000106,"$27,940.75",HOMEIMPROVEMENT,14.23,36,C,0.2680,Late (31-120 days),2022-04-02
LOAN-000160,CUST-000107,"$26,989.09",DEBTCONSOLIDATION,11.92,48,C,0.2352,Late (16-30 days),2022-04-19
LOAN-000161,CUST-000107,"$26,350.18",HOMEIMPROVEMENT,10.67,48,B,0.1680,Current,2022-02-05
LOAN-000162,CUST-000108,"$11,062.08",MEDICAL,17.99,24,E,0.2799,Fully Paid,2023-01-15
LOAN-000163,CUST-000109,"$7,422.43",PERSONAL,10.42,48,B,0.3281,Fully Paid,2022-11-24
LOAN-000164,CUST-000110,"$18,384.37",MEDICAL,10.18,36,B,0.2757,Current,2022-03-29
LOAN-000165,CUST-000110,"$15,358.22",DEBTCONSOLIDATION,10.44,24,B,0.3288,Late (16-30 days),2022-05-03
LOAN-000166,CUST-000111,"$10,221.15",DEBTCONSOLIDATION,17.49,48,D,0.2350,Late (31-120 days),2022-09-30
LOAN-000167,CUST-000111,"$11,721.73",VENTURE,17.09,24,D,0.3103,Late (31-120 days),2022-10-21
LOAN-000168,CUST-000112,"$2,668.34",EDUCATION,14.32,36,C,0.1747,Current,2022-12-07
LOAN-000169,CUST-000113,"$9,823.92",MEDICAL,11.73,48,C,0.2101,Current,2022-12-29
LOAN-000170,CUST-000114,"$6,199.78",MEDICAL,6.09,24,A,0.1298,Current,2023-01-02
LOAN-000171,CUST-000115,"$4,858.43",VENTURE,14.54,60,D,0.0796,Fully Paid,2022-11-16
LOAN-000172,CUST-000115,"$6,874.06",DEBTCONSOLIDATION,10.92,36,B,0.3158,Current,2022-12-16
LOAN-000173,CUST-000116,"$4,228.60",HOMEIMPROVEMENT,12.44,36,C,0.0966,Current,2022-08-11
LOAN-000174,CUST-000116,"$11,566.50",DEBTCONSOLIDATION,9.69,60,B,0.2701,Late (16-30 days),2022-05-24
LOAN-000175,CUST-000117,"$6,029.50",HOMEIMPROVEMENT,12.66,24,C,0.2139,Charged Off / Default,2023-02-01
LOAN-000176,CUST-000118,"$15,127.62",PERSONAL,9.23,48,B,0.1405,Fully Paid,2022-07-01
LOAN-000177,CUST-000118,"$7,198.56",VENTURE,6.66,24,A,0.2569,Current,2022-08-15
LOAN-000178,CUST-000119,"$16,284.56",PERSONAL,9.83,12,B,0.3907,Fully Paid,2022-05-07
LOAN-000179,CUST-000119,"$15,814.07",PERSONAL,10.77,48,B,0.2116,Fully Paid,2022-03-21
LOAN-000180,CUST-000120,"$5,872.98",MEDICAL,10.03,24,B,0.3699,Fully Paid,2022-06-12
LOAN-000181,CUST-000120,"$4,318.33",DEBTCONSOLIDATION,11.70,24,C,0.3443,Fully Paid,2022-08-31
LOAN-000182,CUST-000121,"$2,213.52",DEBTCONSOLIDATION,11.59,24,C,0.2673,Late (16-30 days),2022-04-19
LOAN-000183,CUST-000121,"$5,551.82",MEDICAL,14.29,60,C,0.2479,Current,2022-06-09
LOAN-000184,CUST-000122,"$10,542.22",HOMEIMPROVEMENT,7.75,60,A,0.2888,Fully Paid,2022-12-18
LOAN-000185,CUST-000123,"$6,796.29",HOMEIMPROVEMENT,10.17,24,B,0.2356,Current,2022-10-22
LOAN-000186,CUST-000123,"$7,106.41",MEDICAL,12.44,48,C,0.2548,Fully Paid,2022-12-05
LOAN-000187,CUST-000124,"$14,556.16",PERSONAL,15.06,12,D,0.5523,Fully Paid,2022-06-27
LOAN-000188,CUST-000125,"$2,246.11",EDUCATION,15.06,48,D,0.2649,Fully Paid,2022-04-30
LOAN-000189,CUST-000125,"$12,496.68",HOMEIMPROVEMENT,15.81,12,D,0.5379,Late (31-120 days),2022-03-12
LOAN-000190,CUST-000126,"$12,889.69",PERSONAL,15.14,48,D,0.2152,Late (31-120 days),2022-11-07
LOAN-000191,CUST-000126,"$13,570.38",HOMEIMPROVEMENT,17.39,12,D,0.3776,Late (31-120 days),2022-11-24
LOAN-000192,CUST-000127,"$6,914.56",MEDICAL,13.44,12,C,0.2174,Fully Paid,2022-05-24
LOAN-000193,CUST-000128,"$5,444.18",HOMEIMPROVEMENT,14.92,24,D,0.1637,Late (31-120 days),2022-10-10
LOAN-000194,CUST-000128,"$4,279.18",DEBTCONSOLIDATION,14.02,48,C,0.1628,Late (31-120 days),2022-11-03
LOAN-000195,CUST-000129,"$18,901.89",PERSONAL,9.96,12,B,0.4536,Fully Paid,2023-01-21
LOAN-000196,CUST-000129,"$15,563.33",VENTURE,8.10,36,A,0.1808,Fully Paid,2022-11-11
LOAN-000197,CUST-000130,"$7,112.63",HOMEIMPROVEMENT,14.32,60,C,0.1805,Fully Paid,2022-11-01
LOAN-000198,CUST-000130,"$8,599.51",VENTURE,15.50,36,D,0.2136,Fully Paid,2022-11-28
LOAN-000199,CUST-000131,"$4,217.38",DEBTCONSOLIDATION,14.77,60,D,0.1892,Current,2022-11-28
LOAN-000200,CUST-000132,"$10,709.22",MEDICAL,17.14,60,D,0.1057,Current,2022-05-19
LOAN-000201,CUST-000132,"$6,551.53",MEDICAL,14.75,60,D,0.2501,Fully Paid,2022-03-22
LOAN-000202,CUST-000133,"$2,203.95",EDUCATION,15.28,60,D,0.2057,Fully Paid,2022-07-10
LOAN-000203,CUST-000134,"$25,560.81",HOMEIMPROVEMENT,15.17,36,D,0.2372,Current,2022-09-07
LOAN-000204,CUST-000135,"$10,380.71",MEDICAL,8.72,24,B,0.3194,Fully Paid,2022-10-20
LOAN-000205,CUST-000136,"$14,246.61",EDUCATION,16.40,36,D,0.2106,Charged Off / Default,2022-12-22
LOAN-000206,CUST-000137,"$7,255.60",DEBTCONSOLIDATION,8.35,60,A,0.2369,Fully Paid,2022-09-24
LOAN-000207,CUST-000138,"$6,379.40",EDUCATION,10.86,48,B,0.2102,Fully Paid,2022-07-18
LOAN-000208,CUST-000138,"$8,557.40",VENTURE,13.75,60,C,0.2669,Late (16-30 days),2022-08-17
LOAN-000209,CUST-000139,"$13,748.22",HOMEIMPROVEMENT,7.64,60,A,0.2613,Fully Paid,2022-04-12
LOAN-000210,CUST-000140,"$6,718.57",EDUCATION,13.35,24,C,0.2994,Fully Paid,2022-12-09
LOAN-000211,CUST-000140,"$7,856.08",EDUCATION,11.79,36,C,0.1780,Current,2022-12-28
LOAN-000212,CUST-000141,"$7,990.56",EDUCATION,14.92,12,D,0.3613,Current,2022-11-15
LOAN-000213,CUST-000142,"$6,032.20",HOMEIMPROVEMENT,6.71,48,A,0.1789,Fully Paid,2022-08-06
LOAN-000214,CUST-000143,"$11,662.09",PERSONAL,10.23,24,B,0.4363,Late (16-30 days),2022-10-31
LOAN-000215,CUST-000144,"$11,275.77",MEDICAL,11.06,60,B,0.2310,Fully Paid,2022-12-03
LOAN-000216,CUST-000145,"$4,205.98",HOMEIMPROVEMENT,15.33,24,D,0.2637,Late (31-120 days),2022-11-23
LOAN-000217,CUST-000146,"$31,566.42",VENTURE,12.96,48,C,0.2825,Current,2022-12-30
LOAN-000218,CUST-000146,"$35,475.09",PERSONAL,12.16,24,C,0.3273,Fully Paid,2022-12-24
LOAN-000219,CUST-000147,"$6,105.79",DEBTCONSOLIDATION,11.39,24,B,0.2830,Fully Paid,2022-03-23
LOAN-000220,CUST-000147,"$3,061.55",MEDICAL,12.36,24,C,0.1475,Current,2022-04-24
LOAN-000221,CUST-000148,"$12,378.01",EDUCATION,12.96,48,C,0.3027,Current,2022-06-13
LOAN-000222,CUST-000148,"$13,730.41",VENTURE,13.44,60,C,0.2909,Fully Paid,2022-08-14
LOAN-000223,CUST-000149,"$12,149.75",EDUCATION,18.43,24,E,0.2675,Current,2022-08-20
LOAN-000224,CUST-000150,"$17,198.81",HOMEIMPROVEMENT,5.50,36,A,0.1981,Current,2023-02-20
LOAN-000225,CUST-000151,"$7,052.38",DEBTCONSOLIDATION,9.34,12,B,0.4599,Late (16-30 days),2022-03-09
LOAN-000226,CUST-000151,"$10,004.63",DEBTCONSOLIDATION,9.88,48,B,0.2301,Fully Paid,2022-03-14
LOAN-000227,CUST-000152,"$9,887.99",PERSONAL,13.61,12,C,0.2370,Current,2022-09-13
LOAN-000228,CUST-000152,"$3,051.73",PERSONAL,12.49,60,C,0.1156,Fully Paid,2022-08-30
LOAN-000229,CUST-000153,"$2,087.00",HOMEIMPROVEMENT,8.42,48,A,0.0994,Current,2022-11-23
LOAN-000230,CUST-000154,"$4,336.35",HOMEIMPROVEMENT,9.92,60,B,0.2433,Fully Paid,2022-08-06
LOAN-000231,CUST-000155,"$26,704.51",VENTURE,13.11,36,C,0.3825,Late (31-120 days),2022-12-21
LOAN-000232,CUST-000156,"$25,532.58",PERSONAL,7.30,60,A,0.1870,Current,2022-02-27
LOAN-000233,CUST-000157,"$6,689.41",HOMEIMPROVEMENT,7.15,60,A,0.2054,Current,2022-11-06
LOAN-000234,CUST-000157,"$7,126.28",VENTURE,9.60,12,B,0.5184,Current,2022-11-06
LOAN-000235,CUST-000158,"$7,109.12",VENTURE,15.12,48,D,0.1757,Current,2022-07-25
LOAN-000236,CUST-000159,"$7,415.49",MEDICAL,9.28,60,B,0.1710,Late (16-30 days),2022-11-30
LOAN-000237,CUST-000159,"$6,326.16",VENTURE,10.29,48,B,0.1084,Current,2022-12-02
LOAN-000238,CUST-000160,"$4,310.50",PERSONAL,13.75,48,C,0.2158,Late (16-30 days),2023-02-16
LOAN-000239,CUST-000161,"$6,454.85",EDUCATION,11.60,12,C,0.3562,Fully Paid,2022-12-12
