report_id,customer_id,fico_score,cb_person_default_on_file,total_open_credit_lines,revolving_utilization_pct,derogatory_public_records,past_due_30_59_days_count,past_due_60_89_days_count,past_due_90_plus_days_count,report_date
CBR-000049,CUST-000049,767,N,4,1.86,0,0,0,0,2023-02-22
CBR-000050,CUST-000050,673,N,10,38.56,0,0,0,0,2022-12-10
CBR-000051,CUST-000051,678,N,9,7.20,0,0,0,0,2022-10-26
CBR-000052,CUST-000052,631,N,3,47.23,0,0,0,0,2022-11-05
CBR-000053,CUST-000053,639,N,6,32.51,0,3,1,0,2022-06-25
CBR-000054,CUST-000054,696,N,9,43.81,0,0,0,0,2022-08-04
CBR-000055,CUST-000055,596,Y,9,50.19,0,0,0,0,2022-05-26
CBR-000056,CUST-000056,687,N,6,59.71,0,0,0,0,2023-04-23
CBR-000057,CUST-000057,775,N,5,81.76,0,0,0,0,2022-04-26
CBR-000058,CUST-000058,520,Y,6,58.07,0,0,0,0,2022-12-19
CBR-000059,CUST-000059,562,N,11,38.93,1,0,0,0,2022-03-16
CBR-000060,CUST-000060,717,N,5,74.00,0,0,0,0,2022-09-13
CBR-000061,CUST-000061,765,N,9,23.47,0,0,0,0,2022-10-18
CBR-000062,CUST-000062,635,N,7,32.81,0,1,0,0,2023-02-14
CBR-000063,CUST-000063,530,Y,4,58.56,0,0,0,0,2022-08-16
CBR-000064,CUST-000064,770,N,10,18.16,0,0,0,0,2023-04-07
CBR-000065,CUST-000065,613,Y,3,13.06,0,0,0,0,2022-10-28
CBR-000066,CUST-000066,644,N,8,28.85,0,0,0,0,2023-01-19
CBR-000067,CUST-000067,692,N,10,57.23,0,0,0,0,2022-11-07
CBR-000068,CUST-000068,623,N,10,38.78,0,0,0,0,2022-07-13
CBR-000069,CUST-000069,608,Y,14,71.09,0,0,0,0,2022-09-23
CBR-000070,CUST-000070,609,N,8,7.45,0,0,0,0,2022-08-24
CBR-000071,CUST-000071,800,Y,14,11.43,0,0,0,0,2023-02-03
CBR-000072,CUST-000072,751,N,6,53.05,0,0,0,0,2022-10-30
CBR-000073,CUST-000073,710,N,10,65.86,0,0,0,0,2023-02-13
CBR-000074,CUST-000074,520,Y,5,27.39,0,0,0,0,2022-11-05
CBR-000075,CUST-000075,710,N,5,55.23,0,0,0,0,2023-04-09
CBR-000076,CUST-000076,706,N,7,70.88,0,0,0,0,2022-07-06
CBR-000077,CUST-000077,580,Y,6,54.35,0,1,0,0,2022-09-09
CBR-000078,CUST-000078,688,N,12,54.30,0,0,0,0,2023-02-18
CBR-000079,CUST-000079,743,N,4,27.12,0,0,0,0,2023-04-06
CBR-000080,CUST-000080,709,N,8,28.91,0,0,0,0,2023-01-06
CBR-000081,CUST-000081,622,N,9,39.18,2,1,0,0,2022-04-15
CBR-000082,CUST-000082,670,N,12,66.13,0,0,0,0,2022-06-29
CBR-000083,CUST-000083,721,N,11,22.78,0,0,0,0,2022-09-23
CBR-000084,CUST-000084,674,N,4,9.87,0,0,0,0,2022-04-12
CBR-000085,CUST-000085,757,N,8,48.71,0,0,0,0,2022-03-31
CBR-000086,CUST-000086,697,N,8,75.30,0,0,0,0,2022-09-29
CBR-000087,CUST-000087,722,N,5,45.83,0,0,0,0,2023-04-10
CBR-000088,CUST-000088,727,N,5,37.65,0,0,0,0,2022-07-20
CBR-000089,CUST-000089,595,Y,2,8.20,1,0,0,0,2022-06-13
CBR-000090,CUST-000090,673,N,9,34.96,0,0,0,0,2022-03-07
CBR-000091,CUST-000091,646,N,8,60.16,0,0,0,0,2022-06-30
CBR-000092,CUST-000092,743,N,5,24.44,0,0,0,0,2022-12-30
CBR-000093,CUST-000093,702,N,5,77.50,0,0,0,0,2023-05-15
CBR-000094,CUST-000094,656,N,13,33.51,0,0,0,0,2022-10-08
CBR-000095,CUST-000095,580,Y,6,26.08,0,0,0,0,2023-03-31
CBR-000096,CUST-000096,558,Y,11,16.20,1,0,0,0,2023-01-24
CBR-000097,CUST-000097,691,N,3,35.34,0,0,0,0,2022-03-25
CBR-000098,CUST-000098,619,Y,11,49.98,0,0,0,0,2023-01-14
CBR-000099,CUST-000099,716,N,8,23.18,0,0,0,0,2022-12-26
CBR-000100,CUST-000100,554,N,8,10.22,0,0,0,0,2022-12-13
CBR-000101,CUST-000101,781,N,11,32.34,0,1,0,0,2022-10-17
CBR-000102,CUST-000102,716,N,12,25.14,0,0,0,0,2022-06-22
CBR-000103,CUST-000103,676,N,11,52.82,0,0,0,0,2022-05-20
CBR-000104,CUST-000104,787,N,7,40.10,0,0,0,0,2022-11-10
CBR-000105,CUST-000105,736,N,7,19.73,0,0,0,0,2022-11-20
CBR-000106,CUST-000106,636,N,13,16.69,0,0,0,0,2022-04-25
CBR-000107,CUST-000107,675,N,6,7.10,0,0,0,0,2022-04-26
CBR-000108,CUST-000108,532,N,8,42.59,0,0,0,0,2022-11-17
CBR-000109,CUST-000109,744,N,12,70.31,0,0,0,0,2023-01-03
CBR-000110,CUST-000110,649,N,11,38.49,0,0,0,0,2022-06-03
CBR-000111,CUST-000111,531,N,9,14.47,2,0,0,0,2022-11-19
CBR-000112,CUST-000112,587,Y,7,6.52,0,1,1,0,2023-01-29
CBR-000113,CUST-000113,730,N,11,23.61,0,0,0,0,2023-02-19
CBR-000114,CUST-000114,782,Y,11,68.32,0,0,0,0,2023-02-24
CBR-000115,CUST-000115,671,N,8,25.15,0,0,0,0,2022-12-29
CBR-000116,CUST-000116,601,Y,4,18.41,0,1,0,0,2022-09-26
CBR-000117,CUST-000117,570,N,11,71.78,0,0,0,0,2023-02-24
CBR-000118,CUST-000118,769,N,7,30.54,0,0,0,0,2022-07-22
CBR-000119,CUST-000119,701,N,5,46.93,0,0,0,0,2022-08-31
CBR-000120,CUST-000120,646,N,9,56.05,0,0,0,0,2022-10-22
CBR-000121,CUST-000121,630,N,13,33.25,2,1,1,0,2022-05-29
CBR-000122,CUST-000122,717,N,5,51.99,0,0,0,0,2023-03-30
CBR-000123,CUST-000123,715,N,7,30.52,0,0,0,0,2022-10-24
CBR-000124,CUST-000124,607,Y,6,37.05,0,1,1,0,2022-06-13
CBR-000125,CUST-000125,590,Y,9,27.49,0,1,0,0,2022-05-30
CBR-000126,CUST-000126,593,Y,8,12.69,0,2,0,0,2023-01-21
CBR-000127,CUST-000127,637,N,8,50.89,0,0,0,0,2022-05-31
CBR-000128,CUST-000128,621,N,7,62.66,0,2,0,0,2022-11-05
CBR-000129,CUST-000129,783,Y,6,57.61,0,0,0,0,2022-12-20
CBR-000130,CUST-000130,634,N,5,66.84,0,1,0,0,2023-01-01
CBR-000131,CUST-000131,582,N,8,18.69,0,0,0,0,2022-12-24
CBR-000132,CUST-000132,586,Y,11,57.45,0,0,0,0,2022-03-08
CBR-000133,CUST-000133,657,N,8,52.30,0,0,0,0,2022-10-16
CBR-000134,CUST-000134,542,Y,7,18.92,0,0,0,0,2022-08-22
CBR-000135,CUST-000135,665,N,7,56.02,0,0,0,0,2022-11-16
CBR-000136,CUST-000136,576,N,11,15.97,0,0,0,0,2023-03-30
CBR-000137,CUST-000137,751,N,5,13.73,0,0,0,0,2022-11-14
CBR-000138,CUST-000138,678,N,4,21.70,0,0,0,0,2022-10-03
CBR-000139,CUST-000139,818,N,10,21.02,0,0,0,0,2022-04-27
CBR-000140,CUST-000140,654,N,16,40.08,0,0,0,0,2022-12-13
CBR-000141,CUST-000141,520,Y,11,56.93,0,1,0,0,2022-11-16
CBR-000142,CUST-000142,772,N,8,33.77,0,0,0,0,2022-07-02
CBR-000143,CUST-000143,705,N,4,70.57,0,0,0,0,2022-12-21
CBR-000144,CUST-000144,715,N,7,5.38,0,0,0,0,2023-02-26
CBR-000145,CUST-000145,599,Y,12,55.67,0,1,0,0,2022-10-01
CBR-000146,CUST-000146,667,N,8,37.71,0,0,0,0,2022-11-17
CBR-000147,CUST-000147,683,N,9,38.21,0,0,0,0,2022-05-03
CBR-000148,CUST-000148,653,N,13,31.03,0,0,0,0,2022-06-20
CBR-000149,CUST-000149,548,N,12,19.05,1,2,0,0,2022-11-21
CBR-000150,CUST-000150,850,N,4,16.92,0,0,0,0,2023-03-09
CBR-000151,CUST-000151,728,N,2,16.87,0,0,0,0,2022-04-19
CBR-000152,CUST-000152,699,N,10,49.13,0,0,0,0,2022-11-19
CBR-000153,CUST-000153,761,N,10,26.20,0,0,0,0,2023-04-03
CBR-000154,CUST-000154,715,N,6,30.02,0,0,0,0,2022-07-15
CBR-000155,CUST-000155,622,N,13,30.41,1,0,0,0,2023-04-04
CBR-000156,CUST-000156,757,N,4,67.56,0,0,0,0,2022-04-29
CBR-000157,CUST-000157,729,N,10,2.83,0,0,0,0,2022-12-13
CBR-000158,CUST-000158,625,N,6,49.54,0,0,0,0,2022-10-26
CBR-000159,CUST-000159,725,N,7,11.58,0,0,0,0,2023-01-10
CBR-000160,CUST-000160,653,N,6,35.72,0,0,0,0,2023-01-09
CBR-000161,CUST-000161,684,N,7,22.26,0,0,0,0,2023-03-14
CBR-000162,CUST-000162,711,N,10,63.88,0,0,0,0,2022-09-05
CBR-000163,CUST-000163,765,Y,11,7.98,0,0,0,0,2023-02-14
CBR-000164,CUST-000164,624,N,7,21.68,0,0,0,0,2022-05-30
CBR-000165,CUST-000165,695,N,9,58.86,0,0,0,0,2022-07-08
CBR-000166,CUST-000166,811,N,13,40.13,0,0,0,0,2023-03-07
CBR-000167,CUST-000167,657,N,8,53.28,0,0,0,0,2023-01-25
CBR-000168,CUST-000168,683,N,5,54.83,0,0,0,0,2023-01-28
CBR-000169,CUST-000169,810,N,7,31.77,0,0,0,0,2022-11-26
CBR-000170,CUST-000170,714,N,5,48.44,0,0,0,0,2023-01-07
CBR-000171,CUST-000171,566,N,6,44.29,0,0,0,0,2022-08-14
CBR-000172,CUST-000172,614,N,7,55.38,0,0,0,0,2022-05-22
CBR-000173,CUST-000173,718,N,9,30.06,0,0,0,0,2022-05-15
CBR-000174,CUST-000174,699,Y,7,12.37,0,0,0,0,2022-06-17
CBR-000175,CUST-000175,681,N,11,38.38,0,0,0,0,2022-09-10
CBR-000176,CUST-000176,821,N,7,77.16,0,0,0,0,2022-07-04
CBR-000177,CUST-000177,626,Y,10,46.40,0,0,0,0,2022-06-16
CBR-000178,CUST-000178,664,N,11,46.83,0,0,0,0,2022-09-04
CBR-000179,CUST-000179,532,Y,7,54.60,0,1,0,0,2023-02-18
CBR-000180,CUST-000180,751,N,8,42.05,0,0,0,0,2022-08-07
CBR-000181,CUST-000181,614,N,8,34.25,3,1,0,0,2022-07-22
CBR-000182,CUST-000182,743,N,5,57.35,0,0,0,0,2023-03-24
CBR-000183,CUST-000183,736,N,4,43.35,0,0,0,0,2022-10-06
CBR-000184,CUST-000184,834,Y,10,0.57,0,0,0,0,2022-09-10
CBR-000185,CUST-000185,715,N,7,59.92,0,0,0,0,2023-04-20
CBR-000186,CUST-000186,645,N,4,61.64,0,2,1,0,2022-10-19
CBR-000187,CUST-000187,701,N,8,18.69,0,0,0,0,2023-04-03
CBR-000188,CUST-000188,616,Y,6,30.66,0,0,0,0,2022-06-17
CBR-000189,CUST-000189,692,N,7,74.87,0,0,0,0,2022-05-16
CBR-000190,CUST-000190,655,N,8,66.91,0,0,0,0,2023-05-13
CBR-000191,CUST-000191,665,N,9,40.16,0,0,0,0,2022-12-29
CBR-000192,CUST-000192,607,N,4,33.01,0,0,0,0,2022-08-23
CBR-000193,CUST-000193,691,N,7,73.09,0,0,0,0,2022-07-24
CBR-000194,CUST-000194,727,Y,11,53.93,0,1,0,0,2022-08-30
CBR-000195,CUST-000195,554,N,10,36.16,0,0,0,0,2022-11-28
CBR-000196,CUST-000196,621,N,12,55.31,0,0,0,0,2022-12-19
CBR-000197,CUST-000197,681,N,6,53.88,0,0,0,0,2022-03-30
CBR-000198,CUST-000198,520,Y,9,58.42,1,0,0,0,2022-09-07
CBR-000199,CUST-000199,791,N,3,58.59,0,0,0,0,2022-11-21
CBR-000200,CUST-000200,620,N,8,43.44,0,0,0,0,2022-12-18
CBR-000201,CUST-000201,604,N,6,30.35,0,0,0,0,2023-06-06
CBR-000202,CUST-000202,655,N,4,37.71,0,1,0,0,2023-01-30
CBR-000203,CUST-000203,679,N,3,59.22,0,1,0,0,2022-10-20
CBR-000204,CUST-000204,617,N,9,36.82,0,0,0,0,2022-08-28
CBR-000205,CUST-000205,738,N,9,43.22,0,0,0,0,2022-07-27
CBR-000206,CUST-000206,697,N,9,73.11,0,0,0,0,2022-12-24
CBR-000207,CUST-000207,611,N,9,47.75,1,0,0,0,2022-11-30
CBR-000208,CUST-000208,633,N,6,21.33,0,1,0,0,2022-07-11
CBR-000209,CUST-000209,563,N,9,52.59,0,1,0,0,2022-08-29
CBR-000210,CUST-000210,582,Y,4,15.73,0,0,0,0,2022-02-26
CBR-000211,CUST-000211,697,N,8,61.97,0,0,0,0,2023-01-07
CBR-000212,CUST-000212,612,Y,6,82.09,0,2,0,0,2022-04-15
CBR-000213,CUST-000213,796,N,9,13.81,0,0,0,0,2022-07-17
CBR-000214,CUST-000214,674,N,10,76.67,0,0,0,0,2022-11-03
CBR-000215,CUST-000215,575,N,6,26.56,0,0,0,0,2022-11-20
CBR-000216,CUST-000216,589,Y,9,39.01,0,1,0,0,2022-12-14
CBR-000217,CUST-000217,743,Y,8,33.42,0,0,0,0,2022-10-21
CBR-000218,CUST-000218,664,N,8,52.35,0,0,0,0,2022-10-03
CBR-000219,CUST-000219,739,N,8,15.32,0,0,0,0,2022-04-13
CBR-000220,CUST-000220,644,N,6,43.91,0,3,0,0,2023-01-21
CBR-000221,CUST-000221,630,N,8,73.33,2,1,0,0,2023-01-12
CBR-000222,CUST-000222,748,N,9,28.44,0,0,0,0,2022-04-28
CBR-000223,CUST-000223,609,Y,8,26.46,0,0,0,0,2022-09-27
CBR-000224,CUST-000224,704,N,14,35.55,0,0,0,0,2022-06-14
CBR-000225,CUST-000225,655,N,8,38.63,0,0,0,0,2022-06-30
CBR-000226,CUST-000226,731,Y,10,84.94,0,0,0,0,2022-06-28
CBR-000227,CUST-000227,797,Y,11,74.86,0,0,0,0,2023-06-01
CBR-000228,CUST-000228,642,N,8,39.69,0,0,0,0,2023-02-07
CBR-000229,CUST-000229,631,N,5,45.73,0,1,0,0,2022-12-17
CBR-000230,CUST-000230,716,N,7,14.73,0,0,0,0,2023-04-22
CBR-000231,CUST-000231,594,Y,6,54.73,0,0,0,0,2022-05-11
CBR-000232,CUST-000232,783,N,9,31.88,0,0,0,0,2022-07-17
CBR-000233,CUST-000233,771,N,12,75.81,0,0,0,0,2023-01-19
CBR-000234,CUST-000234,600,Y,5,18.59,0,2,0,0,2022-04-04
CBR-000235,CUST-000235,559,Y,11,66.74,0,0,0,0,2022-12-27
CBR-000236,CUST-000236,588,N,7,34.11,0,1,0,0,2023-01-08
CBR-000237,CUST-000237,589,N,12,61.82,0,0,0,0,2022-07-18
CBR-000238,CUST-000238,726,N,7,19.36,0,0,0,0,2022-09-17
CBR-000239,CUST-000239,778,N,12,46.12,0,0,0,0,2022-06-25
CBR-000240,CUST-000240,725,N,11,12.19,0,0,0,0,2022-10-02
CBR-000241,CUST-000241,653,N,5,23.03,0,1,1,0,2023-03-26
CBR-000242,CUST-000242,693,N,5,58.75,0,0,0,0,2023-03-04
CBR-000243,CUST-000243,609,Y,5,13.80,0,0,0,0,2023-04-25
CBR-000244,CUST-000244,746,N,4,49.74,0,0,0,0,2022-08-14
CBR-000245,CUST-000245,700,N,7,72.73,0,0,0,0,2022-11-09
CBR-000246,CUST-000246,724,N,11,72.25,0,0,0,0,2022-07-14
CBR-000247,CUST-000247,619,Y,7,18.98,0,0,0,0,2022-09-15
CBR-000248,CUST-000248,658,N,6,18.12,0,0,0,0,2022-07-17
CBR-000249,CUST-000249,720,N,9,37.43,0,0,0,0,2023-02-21
CBR-000250,CUST-000250,771,N,5,61.17,0,0,0,0,2023-03-26
CBR-000251,CUST-000251,627,N,9,25.49,0,0,0,0,2023-01-30
CBR-000252,CUST-000252,724,N,8,64.07,0,0,0,0,2023-01-03
CBR-000253,CUST-000253,620,Y,4,48.43,0,0,0,0,2023-04-22
CBR-000254,CUST-000254,818,N,6,53.93,0,1,1,0,2023-02-26
CBR-000255,CUST-000255,640,N,12,57.13,0,0,0,0,2022-10-01
CBR-000256,CUST-000256,715,N,10,35.89,0,0,0,0,2023-01-17
CBR-000257,CUST-000257,681,N,11,63.75,0,0,0,0,2023-05-18
CBR-000258,CUST-000258,850,N,5,29.30,0,0,0,0,2023-02-16
CBR-000259,CUST-000259,686,N,5,80.08,0,0,0,0,2022-11-30
CBR-000260,CUST-000260,633,Y,7,17.11,0,0,0,0,2022-04-19
CBR-000261,CUST-000261,714,N,5,63.04,0,0,0,0,2022-11-16
CBR-000262,CUST-000262,713,N,7,42.40,0,0,0,0,2022-10-09
CBR-000263,CUST-000263,658,N,8,59.67,0,0,0,0,2023-01-24
CBR-000264,CUST-000264,593,Y,7,36.70,0,1,0,0,2022-05-10
CBR-000265,CUST-000265,633,Y,9,18.01,0,0,0,0,2023-03-13
CBR-000266,CUST-000266,731,N,11,35.11,0,0,0,0,2023-02-21
CBR-000267,CUST-000267,547,N,7,42.43,1,0,0,0,2022-05-09
CBR-000268,CUST-000268,652,N,5,44.53,0,0,0,0,2023-05-14
CBR-000269,CUST-000269,739,N,8,72.04,0,0,0,0,2023-01-18
CBR-000270,CUST-000270,663,N,5,28.62,0,0,0,0,2023-05-11
CBR-000271,CUST-000271,822,N,7,19.65,0,0,0,0,2022-10-11
CBR-000272,CUST-000272,547,Y,6,18.11,0,0,0,0,2022-10-14
CBR-000273,CUST-000273,602,Y,11,21.79,1,0,0,0,2022-11-09
CBR-000274,CUST-000274,520,N,9,55.41,0,2,0,0,2023-01-18
CBR-000275,CUST-000275,809,N,11,60.47,0,0,0,0,2022-08-21
CBR-000276,CUST-000276,603,N,6,51.26,0,0,0,0,2022-07-30
CBR-000277,CUST-000277,530,N,6,38.41,0,0,0,0,2022-07-03
CBR-000278,CUST-000278,627,N,7,79.57,0,0,0,0,2022-04-21
CBR-000279,CUST-000279,572,Y,8,28.14,0,0,0,0,2022-12-19
CBR-000280,CUST-000280,627,N,8,28.18,0,0,0,0,2022-12-07
CBR-000281,CUST-000281,672,N,7,67.58,0,0,0,0,2022-09-07
CBR-000282,CUST-000282,726,N,6,37.47,0,0,0,0,2023-01-08
CBR-000283,CUST-000283,657,N,5,49.81,0,0,0,0,2023-03-16
CBR-000284,CUST-000284,671,N,9,25.73,0,0,0,0,2022-07-08
CBR-000285,CUST-000285,629,N,10,66.31,0,0,0,0,2022-07-02
CBR-000286,CUST-000286,564,N,9,21.05,0,1,0,0,2022-07-14
CBR-000287,CUST-000287,540,N,6,60.47,0,0,0,0,2022-11-09
CBR-000288,CUST-000288,644,N,5,64.86,0,2,1,1,2023-03-19
CBR-000289,CUST-000289,675,N,6,27.13,0,0,0,0,2022-08-30
CBR-000290,CUST-000290,639,N,8,53.51,0,0,0,0,2022-10-25
CBR-000291,CUST-000291,543,N,5,37.25,0,1,0,0,2022-12-18
CBR-000292,CUST-000292,684,N,11,45.93,0,0,0,0,2023-05-06
CBR-000293,CUST-000293,784,Y,10,38.62,0,0,0,0,2023-02-03
CBR-000294,CUST-000294,661,N,9,30.84,0,0,0,0,2023-02-26
CBR-000295,CUST-000295,629,Y,10,48.10,0,0,0,0,2022-08-29
CBR-000296,CUST-000296,665,N,10,33.98,0,0,0,0,2022-05-18
CBR-000297,CUST-000297,592,Y,7,42.16,0,0,0,0,2022-09-27
CBR-000298,CUST-000298,588,Y,12,73.57,0,0,0,0,2023-01-26
CBR-000299,CUST-000299,701,N,8,55.41,0,0,0,0,2023-04-17
CBR-000300,CUST-000300,739,N,10,48.46,0,0,0,0,2023-01-30
CBR-000301,CUST-000301,659,N,9,37.53,0,0,0,0,2022-07-02
CBR-000302,CUST-000302,531,N,7,39.98,0,0,0,0,2022-11-02
CBR-000303,CUST-000303,694,N,10,22.17,0,1,0,0,2022-08-15
CBR-000304,CUST-000304,814,N,10,65.97,0,0,0,0,2022-12-11
CBR-000305,CUST-000305,652,N,5,6.80,0,0,0,0,2023-06-17
CBR-000306,CUST-000306,657,N,12,12.66,0,0,0,0,2022-04-05
CBR-000307,CUST-000307,608,Y,6,52.41,0,0,0,0,2022-10-26
CBR-000308,CUST-000308,703,N,8,16.16,0,0,0,0,2022-10-11
CBR-000309,CUST-000309,623,N,5,36.43,0,0,0,0,2023-04-05
CBR-000310,CUST-000310,741,N,5,50.11,0,0,0,0,2022-05-26
CBR-000311,CUST-000311,623,N,10,63.87,1,2,0,0,2022-05-16
CBR-000312,CUST-000312,693,N,5,18.46,0,0,0,0,2023-02-06
CBR-000313,CUST-000313,666,N,9,30.39,0,0,0,0,2022-09-23
CBR-000314,CUST-000314,778,N,6,29.83,0,0,0,0,2022-09-27
CBR-000315,CUST-000315,698,N,6,27.72,0,0,0,0,2023-04-16
CBR-000316,CUST-000316,767,N,11,20.58,0,0,0,0,2023-03-15
CBR-000317,CUST-000317,677,N,7,34.16,0,0,0,0,2022-11-16
CBR-000318,CUST-000318,658,Y,11,27.84,0,0,0,0,2023-02-11
CBR-000319,CUST-000319,667,Y,8,46.50,0,0,0,0,2022-06-10
CBR-000320,CUST-000320,616,Y,10,33.56,0,0,0,0,2023-01-06
CBR-000321,CUST-000321,707,N,7,23.29,0,0,0,0,2023-04-11
CBR-000322,CUST-000322,621,N,7,22.61,0,3,0,0,2023-01-07
CBR-000323,CUST-000323,677,N,10,43.67,0,0,0,0,2023-02-07
CBR-000324,CUST-000324,729,N,9,22.76,0,1,0,0,2022-12-30
CBR-000325,CUST-000325,780,N,5,1.42,0,0,0,0,2023-03-10
CBR-000326,CUST-000326,681,N,9,19.40,0,0,0,0,2023-02-07
CBR-000327,CUST-000327,730,N,7,61.20,0,0,0,0,2022-06-15
CBR-000328,CUST-000328,721,N,9,29.21,0,0,0,0,2022-06-06
CBR-000329,CUST-000329,643,N,6,35.71,0,0,0,0,2023-01-04
CBR-000330,CUST-000330,817,N,8,43.58,0,0,0,0,2022-06-01
CBR-000331,CUST-000331,629,N,5,27.87,0,0,0,0,2022-09-24
CBR-000332,CUST-000332,676,N,8,5.04,0,0,0,0,2022-07-05
CBR-000333,CUST-000333,771,N,4,60.68,0,0,0,0,2023-02-23
CBR-000334,CUST-000334,770,N,10,34.29,0,0,0,0,2022-09-08
CBR-000335,CUST-000335,671,N,10,33.45,0,0,0,0,2022-12-09
CBR-000336,CUST-000336,739,N,6,18.30,0,0,0,0,2022-11-11
CBR-000337,CUST-000337,654,Y,9,58.72,0,0,0,0,2022-06-02
CBR-000338,CUST-000338,635,N,13,25.46,0,0,0,0,2022-08-23
CBR-000339,CUST-000339,585,N,5,39.92,0,0,0,0,2023-02-16
CBR-000340,CUST-000340,720,N,10,25.92,0,0,0,0,2022-03-11
CBR-000341,CUST-000341,728,N,12,17.79,0,0,0,0,2022-06-22
CBR-000342,CUST-000342,630,N,11,13.49,0,0,0,0,2022-12-31
CBR-000343,CUST-000343,688,Y,8,40.74,0,0,0,0,2023-03-09
CBR-000344,CUST-000344,850,N,8,48.23,0,0,0,0,2022-05-05
CBR-000345,CUST-000345,750,N,12,18.38,0,0,0,0,2022-05-29
CBR-000346,CUST-000346,606,N,7,74.50,0,0,0,0,2022-05-01
CBR-000347,CUST-000347,740,N,17,32.78,0,0,0,0,2022-11-23
CBR-000348,CUST-000348,607,Y,10,58.87,0,1,0,0,2023-01-05
CBR-000349,CUST-000349,520,Y,6,55.96,0,0,0,0,2022-10-28
CBR-000350,CUST-000350,668,N,4,34.94,0,1,0,0,2023-01-01
CBR-000351,CUST-000351,779,N,11,36.39,0,0,0,0,2022-11-13
CBR-000352,CUST-000352,767,N,10,47.17,0,0,0,0,2022-12-23
