loan_id,payment_number,scheduled_payment_date,actual_payment_date,amount_due,amount_paid,days_late,payment_status
LOAN-000003,11,2023-02-28,2023-02-27,$112.17,$112.17,0,ON_TIME
LOAN-000003,12,2023-03-29,2023-03-27,$112.17,$112.17,0,ON_TIME
LOAN-000004,1,2023-03-14,2023-03-13,$594.75,$594.75,0,ON_TIME
LOAN-000004,2,2023-04-14,2023-04-27,$594.75,$594.75,13,LATE_1_30
LOAN-000004,3,2023-05-14,2023-05-12,$594.75,$594.75,0,ON_TIME
LOAN-000004,4,2023-06-14,2023-06-14,$594.75,$594.75,0,ON_TIME
LOAN-000004,5,2023-07-14,2023-07-16,$594.75,$594.75,2,LATE_1_30
LOAN-000004,6,2023-08-14,2023-08-13,$594.75,$594.75,0,ON_TIME
LOAN-000004,7,2023-09-14,2023-09-12,$594.75,$594.75,0,ON_TIME
LOAN-000004,8,2023-10-14,2023-10-12,$594.75,$594.75,0,ON_TIME
LOAN-000004,9,2023-11-14,2023-11-12,$594.75,$594.75,0,ON_TIME
LOAN-000004,10,2023-12-14,2023-12-29,$594.75,$594.75,15,LATE_1_30
LOAN-000004,11,2024-01-14,2024-01-14,$594.75,$594.75,0,ON_TIME
LOAN-000004,12,2024-02-14,2024-02-12,$594.75,$594.75,0,ON_TIME
LOAN-000005,1,2022-12-17,2022-12-15,$101.29,$101.29,0,ON_TIME
LOAN-000005,2,2023-01-17,2023-01-15,$101.29,$101.29,0,ON_TIME
LOAN-000005,3,2023-02-17,2023-02-16,$101.29,$101.29,0,ON_TIME
LOAN-000005,4,2023-03-17,2023-03-17,$101.29,$101.29,0,ON_TIME
LOAN-000005,5,2023-04-17,2023-04-17,$101.29,$101.29,0,ON_TIME
LOAN-000005,6,2023-05-17,2023-05-15,$101.29,$101.29,0,ON_TIME
LOAN-000005,7,2023-06-17,2023-06-16,$101.29,$101.29,0,ON_TIME
LOAN-000005,8,2023-07-17,2023-07-15,$101.29,$101.29,0,ON_TIME
LOAN-000005,9,2023-08-17,2023-08-17,$101.29,$101.29,0,ON_TIME
LOAN-000005,10,2023-09-17,2023-09-17,$101.29,$101.29,0,ON_TIME
LOAN-000005,11,2023-10-17,2023-10-17,$101.29,$101.29,0,ON_TIME
LOAN-000005,12,2023-11-17,2023-11-15,$101.29,$101.29,0,ON_TIME
LOAN-000006,1,2022-05-04,2022-05-02,$801.26,$801.26,0,ON_TIME
LOAN-000006,2,2022-06-04,2022-06-08,$801.26,$801.26,4,LATE_1_30
LOAN-000006,3,2022-07-04,2022-09-07,$801.26,$523.60,65,LATE_31_90
LOAN-000006,4,2022-08-04,2022-08-21,$801.26,$801.26,17,LATE_1_30
LOAN-000006,5,2022-09-04,2022-09-04,$801.26,$801.26,0,ON_TIME
LOAN-000006,6,2022-10-04,2022-10-02,$801.26,$801.26,0,ON_TIME
LOAN-000006,7,2022-11-04,2022-11-02,$801.26,$801.26,0,ON_TIME
LOAN-000006,8,2022-12-04,2022-12-02,$801.26,$801.26,0,ON_TIME
LOAN-000006,9,2023-01-04,2023-01-02,$801.26,$801.26,0,ON_TIME
LOAN-000006,10,2023-02-04,2023-02-02,$801.26,$801.26,0,ON_TIME
LOAN-000006,11,2023-03-04,2023-03-04,$801.26,$801.26,0,ON_TIME
LOAN-000006,12,2023-04-04,2023-04-03,$801.26,$801.26,0,ON_TIME
LOAN-000007,1,2022-06-06,2022-06-30,$735.66,$735.66,24,LATE_1_30
LOAN-000007,2,2022-07-06,2022-07-05,$735.66,$735.66,0,ON_TIME
LOAN-000007,3,2022-08-06,2022-08-15,$735.66,$735.66,9,LATE_1_30
LOAN-000007,4,2022-09-06,2022-09-05,$735.66,$735.66,0,ON_TIME
LOAN-000007,5,2022-10-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000007,6,2022-11-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000007,7,2022-12-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000007,8,2023-01-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000007,9,2023-02-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000007,10,2023-03-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000007,11,2023-04-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000007,12,2023-05-06,,$735.66,$0.00,90,DEFAULTED
LOAN-000008,1,2023-01-30,2023-01-29,$340.55,$340.55,0,ON_TIME
LOAN-000008,2,2023-02-28,2023-02-27,$340.55,$340.55,0,ON_TIME
LOAN-000008,3,2023-03-30,2023-03-29,$340.55,$340.55,0,ON_TIME
LOAN-000008,4,2023-04-30,2023-04-28,$340.55,$340.55,0,ON_TIME
LOAN-000008,5,2023-05-30,2023-05-30,$340.55,$340.55,0,ON_TIME
LOAN-000008,6,2023-06-30,2023-06-28,$340.55,$340.55,0,ON_TIME
LOAN-000008,7,2023-07-30,2023-07-30,$340.55,$340.55,0,ON_TIME
LOAN-000008,8,2023-08-30,2023-08-29,$340.55,$340.55,0,ON_TIME
LOAN-000008,9,2023-09-30,2023-09-29,$340.55,$340.55,0,ON_TIME
LOAN-000008,10,2023-10-30,2023-10-28,$340.55,$340.55,0,ON_TIME
LOAN-000008,11,2023-11-30,2023-11-29,$340.55,$340.55,0,ON_TIME
LOAN-000008,12,2023-12-30,2023-12-29,$340.55,$340.55,0,ON_TIME
LOAN-000009,1,2023-03-10,2023-05-14,$696.88,$313.84,65,LATE_31_90
LOAN-000009,2,2023-04-10,2023-04-10,$696.88,$696.88,0,ON_TIME
LOAN-000009,3,2023-05-10,2023-05-09,$696.88,$696.88,0,ON_TIME
LOAN-000009,4,2023-06-10,2023-06-10,$696.88,$696.88,0,ON_TIME
LOAN-000009,5,2023-07-10,2023-08-04,$696.88,$696.88,25,LATE_1_30
LOAN-000009,6,2023-08-10,2023-08-09,$696.88,$696.88,0,ON_TIME
LOAN-000009,7,2023-09-10,2023-12-07,$696.88,$272.97,88,LATE_31_90
LOAN-000009,8,2023-10-10,2023-10-10,$696.88,$696.88,0,ON_TIME
LOAN-000009,9,2023-11-10,2023-12-03,$696.88,$696.88,23,LATE_1_30
LOAN-000009,10,2023-12-10,2023-12-27,$696.88,$696.88,17,LATE_1_30
LOAN-000009,11,2024-01-10,2024-01-19,$696.88,$696.88,9,LATE_1_30
LOAN-000009,12,2024-02-10,2024-02-08,$696.88,$696.88,0,ON_TIME
LOAN-000010,1,2022-12-07,2023-02-10,$735.66,$484.31,65,LATE_31_90
LOAN-000010,2,2023-01-07,2023-01-05,$735.66,$735.66,0,ON_TIME
LOAN-000010,3,2023-02-07,2023-02-05,$735.66,$735.66,0,ON_TIME
LOAN-000010,4,2023-03-07,2023-03-06,$735.66,$735.66,0,ON_TIME
LOAN-000010,5,2023-04-07,2023-04-06,$735.66,$735.66,0,ON_TIME
LOAN-000010,6,2023-05-07,2023-05-05,$735.66,$735.66,0,ON_TIME
LOAN-000010,7,2023-06-07,2023-06-05,$735.66,$735.66,0,ON_TIME
LOAN-000010,8,2023-07-07,2023-07-05,$735.66,$735.66,0,ON_TIME
LOAN-000010,9,2023-08-07,2023-08-05,$735.66,$735.66,0,ON_TIME
LOAN-000010,10,2023-09-07,2023-09-05,$735.66,$735.66,0,ON_TIME
LOAN-000010,11,2023-10-07,2023-10-30,$735.66,$735.66,23,LATE_1_30
LOAN-000010,12,2023-11-07,2023-11-05,$735.66,$735.66,0,ON_TIME
LOAN-000011,1,2023-02-17,2023-02-16,$352.08,$352.08,0,ON_TIME
LOAN-000011,2,2023-03-17,2023-03-17,$352.08,$352.08,0,ON_TIME
LOAN-000011,3,2023-04-17,2023-04-16,$352.08,$352.08,0,ON_TIME
LOAN-000011,4,2023-05-17,2023-05-16,$352.08,$352.08,0,ON_TIME
LOAN-000011,5,2023-06-17,2023-06-29,$352.08,$352.08,12,LATE_1_30
LOAN-000011,6,2023-07-17,2023-07-15,$352.08,$352.08,0,ON_TIME
LOAN-000011,7,2023-08-17,2023-08-15,$352.08,$352.08,0,ON_TIME
LOAN-000011,8,2023-09-17,2023-09-15,$352.08,$352.08,0,ON_TIME
LOAN-000011,9,2023-10-17,2023-10-16,$352.08,$352.08,0,ON_TIME
LOAN-000011,10,2023-11-17,2023-11-16,$352.08,$352.08,0,ON_TIME
LOAN-000011,11,2023-12-17,2023-12-15,$352.08,$352.08,0,ON_TIME
LOAN-000011,12,2024-01-17,2024-01-15,$352.08,$352.08,0,ON_TIME
LOAN-000012,1,2023-03-10,2023-03-28,$928.04,$928.04,18,LATE_1_30
LOAN-000012,2,2023-04-10,2023-04-09,$928.04,$928.04,0,ON_TIME
LOAN-000012,3,2023-05-10,2023-05-08,$928.04,$928.04,0,ON_TIME
LOAN-000012,4,2023-06-10,2023-06-08,$928.04,$928.04,0,ON_TIME
LOAN-000012,5,2023-07-10,2023-07-10,$928.04,$928.04,0,ON_TIME
LOAN-000012,6,2023-08-10,2023-08-09,$928.04,$928.04,0,ON_TIME
LOAN-000012,7,2023-09-10,2023-10-21,$928.04,$511.51,41,LATE_31_90
LOAN-000012,8,2023-10-10,2024-01-02,$928.04,$513.03,84,LATE_31_90
LOAN-000012,9,2023-11-10,2023-11-09,$928.04,$928.04,0,ON_TIME
LOAN-000012,10,2023-12-10,2023-12-09,$928.04,$928.04,0,ON_TIME
LOAN-000012,11,2024-01-10,2024-01-10,$928.04,$928.04,0,ON_TIME
LOAN-000012,12,2024-02-10,2024-02-09,$928.04,$928.04,0,ON_TIME
LOAN-000013,1,2022-06-28,2022-06-27,$138.12,$138.12,0,ON_TIME
LOAN-000013,2,2022-07-28,2022-07-28,$138.12,$138.12,0,ON_TIME
LOAN-000013,3,2022-08-28,2022-09-15,$138.12,$138.12,18,LATE_1_30
LOAN-000013,4,2022-09-28,2022-10-21,$138.12,$138.12,23,LATE_1_30
LOAN-000013,5,2022-10-28,2022-10-27,$138.12,$138.12,0,ON_TIME
LOAN-000013,6,2022-11-28,2022-11-27,$138.12,$138.12,0,ON_TIME
LOAN-000013,7,2022-12-28,2022-12-26,$138.12,$138.12,0,ON_TIME
LOAN-000013,8,2023-01-28,2023-02-04,$138.12,$138.12,7,LATE_1_30
LOAN-000013,9,2023-02-28,2023-02-27,$138.12,$138.12,0,ON_TIME
LOAN-000013,10,2023-03-28,2023-04-17,$138.12,$138.12,20,LATE_1_30
LOAN-000013,11,2023-04-28,2023-05-05,$138.12,$138.12,7,LATE_1_30
LOAN-000013,12,2023-05-28,2023-05-28,$138.12,$138.12,0,ON_TIME
LOAN-000014,1,2022-05-27,2022-05-26,$70.19,$70.19,0,ON_TIME
LOAN-000014,2,2022-06-27,2022-06-27,$70.19,$70.19,0,ON_TIME
LOAN-000014,3,2022-07-27,2022-07-26,$70.19,$70.19,0,ON_TIME
LOAN-000014,4,2022-08-27,2022-08-26,$70.19,$70.19,0,ON_TIME
LOAN-000014,5,2022-09-27,2022-09-25,$70.19,$70.19,0,ON_TIME
LOAN-000014,6,2022-10-27,2022-10-27,$70.19,$70.19,0,ON_TIME
LOAN-000014,7,2022-11-27,2023-01-15,$70.19,$27.18,49,LATE_31_90
LOAN-000014,8,2022-12-27,2022-12-25,$70.19,$70.19,0,ON_TIME
LOAN-000014,9,2023-01-27,2023-01-25,$70.19,$70.19,0,ON_TIME
LOAN-000014,10,2023-02-27,2023-02-26,$70.19,$70.19,0,ON_TIME
LOAN-000014,11,2023-03-27,2023-03-25,$70.19,$70.19,0,ON_TIME
LOAN-000014,12,2023-04-27,2023-04-25,$70.19,$70.19,0,ON_TIME
LOAN-000015,1,2023-01-03,2023-01-03,$235.24,$235.24,0,ON_TIME
LOAN-000015,2,2023-02-03,2023-02-02,$235.24,$235.24,0,ON_TIME
LOAN-000015,3,2023-03-03,2023-03-02,$235.24,$235.24,0,ON_TIME
LOAN-000015,4,2023-04-03,2023-04-03,$235.24,$235.24,0,ON_TIME
LOAN-000015,5,2023-05-03,2023-05-01,$235.24,$235.24,0,ON_TIME
LOAN-000015,6,2023-06-03,2023-06-02,$235.24,$235.24,0,ON_TIME
LOAN-000015,7,2023-07-03,2023-07-26,$235.24,$235.24,23,LATE_1_30
LOAN-000015,8,2023-08-03,2023-08-03,$235.24,$235.24,0,ON_TIME
LOAN-000015,9,2023-09-03,2023-10-17,$235.24,$191.64,44,LATE_31_90
LOAN-000015,10,2023-10-03,2023-10-01,$235.24,$235.24,0,ON_TIME
LOAN-000015,11,2023-11-03,2023-11-02,$235.24,$235.24,0,ON_TIME
LOAN-000015,12,2023-12-03,2024-02-20,$235.24,$81.66,79,LATE_31_90
LOAN-000016,1,2023-02-28,2023-02-26,$486.85,$486.85,0,ON_TIME
LOAN-000016,2,2023-03-28,2023-03-27,$486.85,$486.85,0,ON_TIME
LOAN-000016,3,2023-04-28,2023-04-28,$486.85,$486.85,0,ON_TIME
LOAN-000016,4,2023-05-28,2023-05-26,$486.85,$486.85,0,ON_TIME
LOAN-000016,5,2023-06-28,2023-06-26,$486.85,$486.85,0,ON_TIME
LOAN-000016,6,2023-07-28,2023-07-28,$486.85,$486.85,0,ON_TIME
LOAN-000016,7,2023-08-28,2023-08-27,$486.85,$486.85,0,ON_TIME
LOAN-000016,8,2023-09-28,2023-09-27,$486.85,$486.85,0,ON_TIME
LOAN-000016,9,2023-10-28,2023-10-28,$486.85,$486.85,0,ON_TIME
LOAN-000016,10,2023-11-28,2023-11-28,$486.85,$486.85,0,ON_TIME
LOAN-000016,11,2023-12-28,2023-12-26,$486.85,$486.85,0,ON_TIME
LOAN-000016,12,2024-01-28,2024-01-26,$486.85,$486.85,0,ON_TIME
LOAN-000017,1,2023-05-19,2023-05-18,$216.97,$216.97,0,ON_TIME
LOAN-000017,2,2023-06-19,2023-06-19,$216.97,$216.97,0,ON_TIME
LOAN-000017,3,2023-07-19,2023-07-18,$216.97,$216.97,0,ON_TIME
LOAN-000017,4,2023-08-19,2023-08-19,$216.97,$216.97,0,ON_TIME
LOAN-000017,5,2023-09-19,2023-09-17,$216.97,$216.97,0,ON_TIME
LOAN-000017,6,2023-10-19,2023-12-27,$216.97,$76.95,69,LATE_31_90
LOAN-000017,7,2023-11-19,2023-11-19,$216.97,$216.97,0,ON_TIME
LOAN-000017,8,2023-12-19,2023-12-19,$216.97,$216.97,0,ON_TIME
LOAN-000017,9,2024-01-19,2024-02-04,$216.97,$216.97,16,LATE_1_30
LOAN-000017,10,2024-02-19,2024-02-19,$216.97,$216.97,0,ON_TIME
LOAN-000017,11,2024-03-19,2024-03-27,$216.97,$216.97,8,LATE_1_30
LOAN-000017,12,2024-04-19,2024-05-15,$216.97,$216.97,26,LATE_1_30
LOAN-000018,1,2023-04-29,2023-06-05,$364.19,$109.83,37,LATE_31_90
LOAN-000018,2,2023-05-29,2023-05-28,$364.19,$364.19,0,ON_TIME
LOAN-000018,3,2023-06-29,2023-06-28,$364.19,$364.19,0,ON_TIME
LOAN-000018,4,2023-07-29,2023-07-29,$364.19,$364.19,0,ON_TIME
LOAN-000018,5,2023-08-29,2023-08-27,$364.19,$364.19,0,ON_TIME
LOAN-000018,6,2023-09-29,2023-10-11,$364.19,$364.19,12,LATE_1_30
LOAN-000018,7,2023-10-29,2023-10-28,$364.19,$364.19,0,ON_TIME
LOAN-000018,8,2023-11-29,2024-02-21,$364.19,$325.78,84,LATE_31_90
LOAN-000018,9,2023-12-29,2023-12-28,$364.19,$364.19,0,ON_TIME
LOAN-000018,10,2024-01-29,2024-01-28,$364.19,$364.19,0,ON_TIME
LOAN-000018,11,2024-02-29,2024-03-19,$364.19,$364.19,19,LATE_1_30
LOAN-000018,12,2024-03-29,2024-03-29,$364.19,$364.19,0,ON_TIME
LOAN-000019,1,2022-10-19,2022-10-19,$510.65,$510.65,0,ON_TIME
LOAN-000019,2,2022-11-19,2022-12-02,$510.65,$510.65,13,LATE_1_30
LOAN-000019,3,2022-12-19,2022-12-18,$510.65,$510.65,0,ON_TIME
LOAN-000019,4,2023-01-19,2023-01-19,$510.65,$510.65,0,ON_TIME
LOAN-000019,5,2023-02-19,2023-02-19,$510.65,$510.65,0,ON_TIME
LOAN-000019,6,2023-03-19,2023-03-19,$510.65,$510.65,0,ON_TIME
LOAN-000019,7,2023-04-19,2023-04-19,$510.65,$510.65,0,ON_TIME
LOAN-000019,8,2023-05-19,2023-05-19,$510.65,$510.65,0,ON_TIME
LOAN-000019,9,2023-06-19,2023-06-19,$510.65,$510.65,0,ON_TIME
LOAN-000019,10,2023-07-19,2023-07-17,$510.65,$510.65,0,ON_TIME
LOAN-000019,11,2023-08-19,2023-08-18,$510.65,$510.65,0,ON_TIME
LOAN-000019,12,2023-09-19,2023-09-18,$510.65,$510.65,0,ON_TIME
LOAN-000020,1,2022-09-24,2022-09-24,$396.21,$396.21,0,ON_TIME
LOAN-000020,2,2022-10-24,2022-10-24,$396.21,$396.21,0,ON_TIME
LOAN-000020,3,2022-11-24,2022-11-23,$396.21,$396.21,0,ON_TIME
LOAN-000020,4,2022-12-24,2022-12-24,$396.21,$396.21,0,ON_TIME
LOAN-000020,5,2023-01-24,2023-01-24,$396.21,$396.21,0,ON_TIME
LOAN-000020,6,2023-02-24,2023-02-22,$396.21,$396.21,0,ON_TIME
LOAN-000020,7,2023-03-24,2023-04-19,$396.21,$396.21,26,LATE_1_30
LOAN-000020,8,2023-04-24,2023-04-22,$396.21,$396.21,0,ON_TIME
LOAN-000020,9,2023-05-24,2023-05-24,$396.21,$396.21,0,ON_TIME
LOAN-000020,10,2023-06-24,2023-09-03,$396.21,$168.59,71,LATE_31_90
LOAN-000020,11,2023-07-24,2023-07-31,$396.21,$396.21,7,LATE_1_30
LOAN-000020,12,2023-08-24,2023-08-23,$396.21,$396.21,0,ON_TIME
LOAN-000021,1,2022-10-14,2022-10-13,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,2,2022-11-14,2022-11-12,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,3,2022-12-14,2023-01-09,"$1,162.32","$1,162.32",26,LATE_1_30
LOAN-000021,4,2023-01-14,2023-01-12,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,5,2023-02-14,2023-02-14,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,6,2023-03-14,2023-03-15,"$1,162.32","$1,162.32",1,LATE_1_30
LOAN-000021,7,2023-04-14,2023-04-13,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,8,2023-05-14,2023-05-28,"$1,162.32","$1,162.32",14,LATE_1_30
LOAN-000021,9,2023-06-14,2023-06-13,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,10,2023-07-14,2023-07-13,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,11,2023-08-14,2023-08-12,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000021,12,2023-09-14,2023-09-14,"$1,162.32","$1,162.32",0,ON_TIME
LOAN-000022,1,2022-10-06,2022-10-27,"$2,080.08","$2,080.08",21,LATE_1_30
LOAN-000022,2,2022-11-06,2022-11-19,"$2,080.08","$2,080.08",13,LATE_1_30
LOAN-000022,3,2022-12-06,2022-12-05,"$2,080.08","$2,080.08",0,ON_TIME
LOAN-000022,4,2023-01-06,2023-02-01,"$2,080.08","$2,080.08",26,LATE_1_30
LOAN-000022,5,2023-02-06,2023-03-21,"$2,080.08","$1,593.93",43,LATE_31_90
LOAN-000022,6,2023-03-06,2023-03-06,"$2,080.08","$2,080.08",0,ON_TIME
LOAN-000022,7,2023-04-06,2023-04-04,"$2,080.08","$2,080.08",0,ON_TIME
LOAN-000022,8,2023-05-06,2023-05-06,"$2,080.08","$2,080.08",0,ON_TIME
LOAN-000022,9,2023-06-06,2023-06-05,"$2,080.08","$2,080.08",0,ON_TIME
LOAN-000022,10,2023-07-06,2023-07-23,"$2,080.08","$2,080.08",17,LATE_1_30
LOAN-000022,11,2023-08-06,2023-08-06,"$2,080.08","$2,080.08",0,ON_TIME
LOAN-000022,12,2023-09-06,2023-09-05,"$2,080.08","$2,080.08",0,ON_TIME
LOAN-000023,1,2022-09-28,2022-09-28,$242.36,$242.36,0,ON_TIME
LOAN-000023,2,2022-10-28,2022-10-26,$242.36,$242.36,0,ON_TIME
LOAN-000023,3,2022-11-28,2022-11-26,$242.36,$242.36,0,ON_TIME
LOAN-000023,4,2022-12-28,2022-12-26,$242.36,$242.36,0,ON_TIME
LOAN-000023,5,2023-01-28,2023-04-13,$242.36,$156.95,75,LATE_31_90
LOAN-000023,6,2023-02-28,2023-03-06,$242.36,$242.36,6,LATE_1_30
LOAN-000023,7,2023-03-28,2023-04-22,$242.36,$242.36,25,LATE_1_30
LOAN-000023,8,2023-04-28,2023-04-27,$242.36,$242.36,0,ON_TIME
LOAN-000023,9,2023-05-28,2023-05-26,$242.36,$242.36,0,ON_TIME
LOAN-000023,10,2023-06-28,2023-06-27,$242.36,$242.36,0,ON_TIME
LOAN-000023,11,2023-07-28,2023-10-07,$242.36,$194.00,71,LATE_31_90
LOAN-000023,12,2023-08-28,2023-08-26,$242.36,$242.36,0,ON_TIME
LOAN-000024,1,2022-09-07,2022-09-07,$112.78,$112.78,0,ON_TIME
LOAN-000024,2,2022-10-07,2022-12-21,$112.78,$71.54,75,LATE_31_90
LOAN-000024,3,2022-11-07,2022-11-05,$112.78,$112.78,0,ON_TIME
LOAN-000024,4,2022-12-07,2022-12-07,$112.78,$112.78,0,ON_TIME
LOAN-000024,5,2023-01-07,2023-01-05,$112.78,$112.78,0,ON_TIME
LOAN-000024,6,2023-02-07,2023-02-07,$112.78,$112.78,0,ON_TIME
LOAN-000024,7,2023-03-07,2023-03-06,$112.78,$112.78,0,ON_TIME
LOAN-000024,8,2023-04-07,2023-05-21,$112.78,$97.81,44,LATE_31_90
LOAN-000024,9,2023-05-07,2023-05-06,$112.78,$112.78,0,ON_TIME
LOAN-000024,10,2023-06-07,2023-06-05,$112.78,$112.78,0,ON_TIME
LOAN-000024,11,2023-07-07,2023-07-07,$112.78,$112.78,0,ON_TIME
LOAN-000024,12,2023-08-07,2023-08-05,$112.78,$112.78,0,ON_TIME
LOAN-000025,1,2023-02-28,2023-02-27,$107.06,$107.06,0,ON_TIME
LOAN-000025,2,2023-03-30,2023-03-29,$107.06,$107.06,0,ON_TIME
LOAN-000025,3,2023-04-30,2023-04-30,$107.06,$107.06,0,ON_TIME
LOAN-000025,4,2023-05-30,2023-05-29,$107.06,$107.06,0,ON_TIME
LOAN-000025,5,2023-06-30,2023-06-28,$107.06,$107.06,0,ON_TIME
LOAN-000025,6,2023-07-30,2023-09-18,$107.06,$72.48,50,LATE_31_90
LOAN-000025,7,2023-08-30,2023-08-28,$107.06,$107.06,0,ON_TIME
LOAN-000025,8,2023-09-30,2023-09-28,$107.06,$107.06,0,ON_TIME
LOAN-000025,9,2023-10-30,2023-10-29,$107.06,$107.06,0,ON_TIME
LOAN-000025,10,2023-11-30,2023-11-28,$107.06,$107.06,0,ON_TIME
LOAN-000025,11,2023-12-30,2023-12-28,$107.06,$107.06,0,ON_TIME
LOAN-000025,12,2024-01-30,2024-01-30,$107.06,$107.06,0,ON_TIME
LOAN-000026,1,2022-04-24,2022-04-22,$193.33,$193.33,0,ON_TIME
LOAN-000026,2,2022-05-24,2022-05-23,$193.33,$193.33,0,ON_TIME
LOAN-000026,3,2022-06-24,2022-06-22,$193.33,$193.33,0,ON_TIME
LOAN-000026,4,2022-07-24,2022-07-24,$193.33,$193.33,0,ON_TIME
LOAN-000026,5,2022-08-24,2022-08-31,$193.33,$193.33,7,LATE_1_30
LOAN-000026,6,2022-09-24,2022-09-22,$193.33,$193.33,0,ON_TIME
LOAN-000026,7,2022-10-24,2022-10-23,$193.33,$193.33,0,ON_TIME
LOAN-000026,8,2022-11-24,2022-11-22,$193.33,$193.33,0,ON_TIME
LOAN-000026,9,2022-12-24,2022-12-23,$193.33,$193.33,0,ON_TIME
LOAN-000026,10,2023-01-24,2023-01-24,$193.33,$193.33,0,ON_TIME
LOAN-000026,11,2023-02-24,2023-02-24,$193.33,$193.33,0,ON_TIME
LOAN-000026,12,2023-03-24,2023-03-25,$193.33,$193.33,1,LATE_1_30
LOAN-000027,1,2022-06-18,2022-06-17,$463.61,$463.61,0,ON_TIME
LOAN-000027,2,2022-07-18,2022-09-23,$463.61,$153.05,67,LATE_31_90
LOAN-000027,3,2022-08-18,2022-08-16,$463.61,$463.61,0,ON_TIME
LOAN-000027,4,2022-09-18,2022-09-16,$463.61,$463.61,0,ON_TIME
LOAN-000027,5,2022-10-18,2022-12-21,$463.61,$224.40,64,LATE_31_90
LOAN-000027,6,2022-11-18,2022-11-17,$463.61,$463.61,0,ON_TIME
LOAN-000027,7,2022-12-18,2022-12-18,$463.61,$463.61,0,ON_TIME
